"","ASSAULT","BATTERY","HOMICIDE","ROBBERY"
"2002-10-28",91,264,0,46
"2002-10-29",73,239,3,59
"2002-10-30",90,241,1,64
"2002-10-31",86,288,4,49
"2002-11-01",79,257,1,59
"2002-11-02",88,238,1,51
"2002-11-03",63,237,1,43
"2002-11-04",90,196,0,44
"2002-11-05",96,201,2,52
"2002-11-06",81,245,2,54
"2002-11-07",81,260,1,44
"2002-11-08",80,212,2,71
"2002-11-09",78,258,1,82
"2002-11-10",64,260,2,62
"2002-11-11",71,185,1,43
"2002-11-12",75,186,1,55
"2002-11-13",78,219,1,55
"2002-11-14",58,195,1,50
"2002-11-15",84,215,1,53
"2002-11-16",65,227,2,53
"2002-11-17",60,240,1,51
"2002-11-18",76,232,5,59
"2002-11-19",87,239,4,51
"2002-11-20",79,240,0,62
"2002-11-21",66,180,1,45
"2002-11-22",90,273,2,44
"2002-11-23",70,218,1,41
"2002-11-24",51,227,2,33
"2002-11-25",58,184,1,36
"2002-11-26",66,190,0,49
"2002-11-27",79,221,1,53
"2002-11-28",50,195,0,35
"2002-11-29",66,190,1,57
"2002-11-30",54,199,0,54
"2002-12-01",52,217,1,51
"2002-12-02",71,178,2,48
"2002-12-03",75,187,2,51
"2002-12-04",68,176,4,51
"2002-12-05",64,192,3,39
"2002-12-06",76,223,3,49
"2002-12-07",64,231,3,53
"2002-12-08",59,213,2,54
"2002-12-09",65,201,1,52
"2002-12-10",98,228,3,46
"2002-12-11",92,219,4,43
"2002-12-12",105,241,2,45
"2002-12-13",80,255,3,54
"2002-12-14",58,224,2,49
"2002-12-15",60,211,2,53
"2002-12-16",88,221,3,55
"2002-12-17",68,175,5,62
"2002-12-18",56,237,1,53
"2002-12-19",82,249,1,57
"2002-12-20",72,230,1,61
"2002-12-21",60,241,3,41
"2002-12-22",63,229,1,46
"2002-12-23",47,171,4,44
"2002-12-24",52,188,3,57
"2002-12-25",51,259,4,32
"2002-12-26",48,156,2,37
"2002-12-27",53,159,1,45
"2002-12-28",61,191,0,49
"2002-12-29",60,199,0,41
"2002-12-30",56,182,3,57
"2002-12-31",48,233,1,51
"2003-01-01",80,381,0,48
"2003-01-02",64,142,1,49
"2003-01-03",56,188,5,57
"2003-01-04",62,201,1,53
"2003-01-05",57,207,2,43
"2003-01-06",67,189,3,41
"2003-01-07",61,190,1,61
"2003-01-08",78,232,0,47
"2003-01-09",71,212,2,55
"2003-01-10",76,202,5,35
"2003-01-11",72,201,2,47
"2003-01-12",51,204,0,41
"2003-01-13",70,181,0,56
"2003-01-14",76,187,1,47
"2003-01-15",62,184,2,36
